Date,Open,High,Low,Close,Volume
"set 24, 2020","33,66","34,00","32,89","33,35",16.404.055
"set 25, 2020","33,20","34,50","33,20","34,46",10.736.298
"set 28, 2020","35,80","36,63","35,26","35,56",22.878.432
"set 29, 2020","35,56","35,65","34,60","35,43",16.503.443
"set 30, 2020","35,28","36,50","35,28","36,48",21.386.305
"ott 1, 2020","36,86","37,83","36,58","37,14",19.187.502
"ott 2, 2020","36,00","37,99","35,94","37,72",20.123.445
"ott 5, 2020","37,70","38,00","36,88","37,14",13.093.069
"ott 6, 2020","37,17","37,37","36,04","36,26",13.074.679
"ott 7, 2020","36,59","37,11","36,37","36,78",13.782.136
"ott 8, 2020","37,00","37,83","36,96","37,34",12.212.370
"ott 9, 2020","37,91","38,35","37,19","37,27",13.172.028
"ott 12, 2020","37,56","37,56","36,17","36,26",16.569.415
"ott 13, 2020","36,22","36,23","35,02","35,56",15.463.089
"ott 14, 2020","35,69","36,09","35,08","35,11",15.402.925
"ott 15, 2020","34,68","34,81","34,02","34,26",15.449.850
"ott 16, 2020","34,78","34,80","33,61","33,72",14.904.333
"ott 19, 2020","34,16","34,59","34,00","34,22",19.278.584
"ott 20, 2020","34,53","36,76","34,53","36,31",29.820.702
"ott 21, 2020","36,25","36,25","34,88","35,20",19.058.727
"ott 22, 2020","35,42","36,89","34,91","36,70",14.243.611
"ott 23, 2020","36,50","36,99","35,92","36,75",15.960.599
"ott 26, 2020","36,50","36,74","35,12","35,49",12.511.721
"ott 27, 2020","35,51","35,70","34,02","34,16",13.692.117
"ott 28, 2020","33,62","33,66","32,90","33,65",15.787.858
"ott 29, 2020","33,71","34,94","33,33","34,06",13.735.346
"ott 30, 2020","33,91","34,39","33,16","33,41",13.508.512
"nov 2, 2020","34,15","35,05","34,06","34,81",18.350.453
"nov 3, 2020","35,27","36,15","35,15","35,77",16.208.783
"nov 4, 2020","40,66","42,15","39,00","40,99",101.818.168
"nov 5, 2020","40,33","42,05","40,01","41,96",34.177.623
"nov 6, 2020","42,09","45,38","41,62","44,87",57.670.672
"nov 9, 2020","48,01","49,62","47,30","48,18",61.632.340
"nov 10, 2020","46,74","49,36","46,05","47,00",33.079.784
"nov 11, 2020","46,72","47,52","45,91","46,23",19.213.685
"nov 12, 2020","45,39","47,47","45,05","46,40",16.255.467
"nov 13, 2020","47,11","47,79","45,93","47,61",15.569.906
"nov 16, 2020","48,74","50,09","48,48","49,21",29.301.713
"nov 17, 2020","48,72","49,62","48,50","48,89",16.638.334
"nov 18, 2020","48,77","49,95","48,33","49,11",17.783.508
"nov 19, 2020","49,10","49,91","48,65","49,26",13.480.257
"nov 20, 2020","49,98","50,75","48,27","48,43",17.330.366
"nov 23, 2020","48,66","50,88","48,51","50,04",17.147.060
"nov 24, 2020","50,62","52,15","50,48","51,26",16.216.228
"nov 25, 2020","51,27","51,45","49,92","50,80",11.641.561
"nov 27, 2020","50,93","51,19","50,20","50,72",8.339.157
"nov 30, 2020","50,22","51,01","48,53","49,66",17.221.543
"dic 1, 2020","50,00","51,41","49,07","49,63",20.619.101
"dic 2, 2020","49,26","53,45","48,53","53,09",30.381.462
"dic 3, 2020","53,30","53,49","52,12","52,52",13.122.394
"dic 4, 2020","52,71","54,86","52,71","54,86",22.207.887
"dic 7, 2020","54,59","54,87","53,65","53,80",13.764.431
"dic 8, 2020","52,40","54,22","52,35","53,01",26.167.347
"dic 9, 2020","53,98","56,02","53,06","53,79",46.777.880
"dic 10, 2020","52,33","54,62","51,30","54,35",20.207.664
"dic 11, 2020","54,47","55,03","52,33","52,63",16.817.870
"dic 14, 2020","53,27","53,44","51,24","51,46",19.048.536
"dic 15, 2020","52,12","52,83","50,87","51,00",17.504.739
"dic 16, 2020","51,18","51,68","50,29","50,49",19.577.759
"dic 17, 2020","50,59","51,30","50,17","50,63",19.688.316
"dic 18, 2020","50,81","50,95","49,52","50,62",24.355.167
"dic 21, 2020","49,00","52,35","48,79","51,80",23.562.858
"dic 22, 2020","52,11","54,36","51,92","53,78",23.885.275
"dic 23, 2020","53,80","54,09","52,99","53,71",12.671.105
"dic 24, 2020","53,60","53,63","52,29","52,88",6.316.761
"dic 28, 2020","53,02","53,13","51,56","51,97",12.058.981
"dic 29, 2020","52,33","52,99","51,47","52,27",10.140.561
"dic 30, 2020","52,72","53,85","52,22","53,15",9.518.600
"dic 31, 2020","53,28","53,28","51,00","51,00",13.282.786
"gen 4, 2021","52,22","52,32","49,64","51,14",17.291.804
"gen 5, 2021","51,00","54,19","50,76","54,01",21.403.169
"gen 6, 2021","53,31","54,07","52,00","52,48",17.738.115
"gen 7, 2021","53,37","56,25","53,20","56,13",23.737.543
"gen 8, 2021","54,40","54,79","52,58","53,28",37.999.442
"gen 11, 2021","53,11","55,00","52,99","54,59",23.213.840
"gen 12, 2021","55,50","59,39","55,00","58,54",52.151.405
